# PBC Ising L=16, dps=50, h_fd=1e-05
#       beta              logZ/N            energy/N                  cv
    0.1207      0.710602421670     -0.247375957437      0.031329861395
    0.1208      0.710627170019     -0.247591022561      0.031385562819
    0.1209      0.710651939875     -0.247806113507      0.031441323297
    0.1210      0.710676731242     -0.248021230300      0.031497142864
    0.1211      0.710701544122     -0.248236372963      0.031553021555
    0.1212      0.710726378518     -0.248451541522      0.031608959404
    0.1213      0.710751234431     -0.248666736000      0.031664956446
    0.1214      0.710776111866     -0.248881956422      0.031721012715
    0.1215      0.710801010823     -0.249097202812      0.031777128246
    0.1216      0.710825931307     -0.249312475195      0.031833303074
    0.1217      0.710850873319     -0.249527773596      0.031889537234
    0.1218      0.710875836863     -0.249743098039      0.031945830759
    0.1219      0.710900821940     -0.249958448548      0.032002183686
    0.1220      0.710925828553     -0.250173825148      0.032058596049
    0.1221      0.710950856706     -0.250389227864      0.032115067882
    0.1222      0.710975906400     -0.250604656719      0.032171599221
    0.1223      0.711000977638     -0.250820111739      0.032228190100
    0.1224      0.711026070423     -0.251035592948      0.032284840555
    0.1225      0.711051184757     -0.251251100370      0.032341550621
    0.1226      0.711076320644     -0.251466634030      0.032398320333
    0.1227      0.711101478085     -0.251682193953      0.032455149725
    0.1228      0.711126657083     -0.251897780164      0.032512038834
    0.1229      0.711151857642     -0.252113392686      0.032568987693
    0.1230      0.711177079763     -0.252329031544      0.032625996340
    0.1231      0.711202323449     -0.252544696764      0.032683064808
    0.1232      0.711227588703     -0.252760388368      0.032740193133
    0.1233      0.711252875528     -0.252976106384      0.032797381350
    0.1234      0.711278183925     -0.253191850834      0.032854629496
    0.1235      0.711303513899     -0.253407621743      0.032911937605
    0.1236      0.711328865450     -0.253623419136      0.032969305712
    0.1237      0.711354238583     -0.253839243039      0.033026733854
    0.1238      0.711379633300     -0.254055093474      0.033084222066
    0.1239      0.711405049603     -0.254270970468      0.033141770383
    0.1240      0.711430487495     -0.254486874044      0.033199378842
    0.1241      0.711455946979     -0.254702804228      0.033257047477
    0.1242      0.711481428057     -0.254918761044      0.033314776325
    0.1243      0.711506930732     -0.255134744516      0.033372565421
    0.1244      0.711532455006     -0.255350754671      0.033430414801
    0.1245      0.711558000884     -0.255566791531      0.033488324502
    0.1246      0.711583568366     -0.255782855122      0.033546294558
    0.1247      0.711609157455     -0.255998945470      0.033604325006
    0.1248      0.711634768156     -0.256215062597      0.033662415881
    0.1249      0.711660400469     -0.256431206530      0.033720567221
    0.1250      0.711686054398     -0.256647377293      0.033778779616
    0.1251      0.711711729945     -0.256863574911      0.033837051435
    0.1252      0.711737427114     -0.257079799408      0.033895384382
    0.1253      0.711763145906     -0.257296050809      0.033953777938
    0.1254      0.711788886325     -0.257512329139      0.034012232137
    0.1255      0.711814648373     -0.257728634424      0.034070747018
    0.1256      0.711840432053     -0.257944966687      0.034129322615
    0.1257      0.711866237367     -0.258161325954      0.034187958966
    0.1258      0.711892064319     -0.258377712249      0.034246656106
    0.1259      0.711917912910     -0.258594125598      0.034305414073
    0.1260      0.711943783145     -0.258810566024      0.034364232902
    0.1261      0.711969675024     -0.259027033554      0.034423112630
    0.1262      0.711995588552     -0.259243528211      0.034482053294
    0.1263      0.712021523731     -0.259460050021      0.034541054929
    0.1264      0.712047480563     -0.259676599009      0.034600117574
    0.1265      0.712073459052     -0.259893175200      0.034659241264
    0.1266      0.712099459199     -0.260109778618      0.034718426036
    0.1267      0.712125481008     -0.260326409288      0.034777671928
    0.1268      0.712151524482     -0.260543067235      0.034836978975
    0.1269      0.712177589623     -0.260759752485      0.034896347214
    0.1270      0.712203676433     -0.260976465062      0.034955776683
    0.1271      0.712229784916     -0.261193204991      0.035015267418
    0.1272      0.712255915075     -0.261409972298      0.035074819456
    0.1273      0.712282066912     -0.261626767006      0.035134432835
