# Device: cuda:3 | TF32 disabled: True
# L=32,  N=1024 spins,  beta_c = ln(1+sqrt(2))/2 ~ 0.44069
# Derivatives: central finite difference, h=0.0001
# Precomputation: 0.76s | Matrix: 3968x3968 | ~0.23 GB/tensor
#     beta            logZ/N      FreeEnergy/N          Energy/N                Cv     dt(s)
  0.1187      0.7069525767     -5.9557925585     -0.2352690406      0.0292039694     0.254
  0.1188      0.7069761140     -5.9509773902     -0.2354763243      0.0292565106     0.296
  0.1189      0.7069996720     -5.9461704958     -0.2356836314      0.0293091060     0.279
  0.1190      0.7070232507     -5.9413718545     -0.2358909621      0.0293617599     0.293
  0.1191      0.7070468501     -5.9365814454     -0.2360983162      0.0294144681     0.279
  0.1192      0.7070704703     -5.9317992479     -0.2363056940      0.0294672338     0.280
  0.1193      0.7070941113     -5.9270252413     -0.2365130953      0.0295200517     0.237
  0.1194      0.7071177730     -5.9222594051     -0.2367205203      0.0295729300     0.231
  0.1195      0.7071414554     -5.9175017187     -0.2369279688      0.0296258598     0.234
  0.1196      0.7071651586     -5.9127521619     -0.2371354410      0.0296788497     0.194
  0.1197      0.7071888825     -5.9080107141     -0.2373429369      0.0297318927     0.158
  0.1198      0.7072126271     -5.9032773552     -0.2375504565      0.0297849933     0.144
  0.1199      0.7072363926     -5.8985520648     -0.2377579998      0.0298381496     0.186
  0.1200      0.7072601787     -5.8938348229     -0.2379655668      0.0298913631     0.199
  0.1201      0.7072839857     -5.8891256094     -0.2381731576      0.0299446287     0.189
  0.1202      0.7073078134     -5.8844244042     -0.2383807722      0.0299979552     0.236
  0.1203      0.7073316618     -5.8797311873     -0.2385884105      0.0300513355     0.238
  0.1204      0.7073555311     -5.8750459390     -0.2387960727      0.0301047721     0.235
  0.1205      0.7073794211     -5.8703686394     -0.2390037588      0.0301582667     0.247
  0.1206      0.7074033318     -5.8656992688     -0.2392114687      0.0302118146     0.219
  0.1207      0.7074272633     -5.8610378073     -0.2394192025      0.0302654233     0.235
  0.1208      0.7074512157     -5.8563842355     -0.2396269603      0.0303190812     0.228
  0.1209      0.7074751887     -5.8517385338     -0.2398347419      0.0303728037     0.193
  0.1210      0.7074991826     -5.8471006827     -0.2400425476      0.0304265772     0.189
